,Product Name,Price,Quantity,Code,Brand,Product Link
0,Chocolate Home - Treats Pack,447,3x126 g,1212499,Cadbury Dairy Milk,/pd/1212499/cadbury-dairy-milk-chocolate-home-treats-pack-3x126-g/
1,"Fuse Fit-Almonds&Peanuts,40g+Fuse Fit-Cranberries&Nut,41g+Bournvita-Refill,750g",410,Combo,1214956,Cadbury,/pd/1214956/cadbury-fuse-fit-almondspeanuts40gfuse-fit-cranberriesnut41gbournvita-refill750g-combo/
2,Sugar Coated Chocolate,5,7.9 g,100021029,Cadbury Gems,/pd/100021029/cadbury-gems-sugar-coated-chocolate-79-g-pouch/
3,Nutties Chocolate Pack,160,4x30 g,1206720,Cadbury,/pd/1206720/cadbury-nutties-chocolate-pack-4x30-g/
4,Dark Chocolate- 55% Rich In Cocoa,100,150 g,40003735,Amul,/pd/40003735/amul-dark-chocolate-55-rich-in-cocoa-150-g-carton/
5,Chocolate Bar,480,3X150 g,1214952,Cadbury Dairy Milk Silk,/pd/1214952/cadbury-dairy-milk-silk-chocolate-bar-3x150-g/
6,Chocolate,40,2x23 g,1206716,Cadbury Dairy Milk,/pd/1206716/cadbury-dairy-milk-chocolate-2x23-g/
7,Rich Cocoa Dark Chocolate Bar,270,3x80 g,1203265,Cadbury Bournville,/pd/1203265/cadbury-bournville-rich-cocoa-dark-chocolate-bar-3x80-g/
8,KitKat Share Bag - 2 Fingers Pack,100,119 g,40122231,Nestle ,/pd/40122231/nestle-kitkat-share-bag-2-fingers-pack-119-g/
9,"Fruit & Nut Chocolate Bar, 80 g- Pack of 6",480,6x80 g,1214695,Cadbury Dairy Milk,/pd/1214695/cadbury-dairy-milk-fruit-nut-chocolate-bar-80-g-pack-of-6-6x80-g/
10,Gems - Sugar Coated Chocolate,10,18.96 g,40120531,Cadbury,/pd/40120531/cadbury-gems-sugar-coated-chocolate-1896-g/
11,Kitkat - Crispy Wafer Bar,15,2 pcs,100532699,Nestle ,/pd/100532699/nestle-kitkat-crispy-wafer-bar-2-pcs/
12,"Crackle Chocolate Bar, 36 g",360,8x36 g,1207402,Cadbury Dairy Milk,/pd/1207402/cadbury-dairy-milk-crackle-chocolate-bar-36-g-8x36-g/
